capteurs_id,valeurs_capteurs,date,time,versoud_data
1.0,22.807,2020-07-24,00:00,17.7
10.0,22.418,2020-07-24,00:00,17.7
11.0,22.043,2020-07-24,00:00,17.7
12.0,21.232,2020-07-24,00:00,17.7
13.0,22.681,2020-07-24,00:00,17.7
14.0,22.906,2020-07-24,00:00,17.7
15.0,22.043,2020-07-24,00:00,17.7
16.0,21.974,2020-07-24,00:00,17.7
17.0,21.638,2020-07-24,00:00,17.7
18.0,22.019,2020-07-24,00:00,17.7
19.0,20.059,2020-07-24,00:00,17.7
2.0,22.906,2020-07-24,00:00,17.7
20.0,22.113,2020-07-24,00:00,17.7
21.0,20.378,2020-07-24,00:00,17.7
22.0,21.851,2020-07-24,00:00,17.7
23.0,22.538,2020-07-24,00:00,17.7
24.0,21.653,2020-07-24,00:00,17.7
25.0,23.029,2020-07-24,00:00,17.7
26.0,22.738,2020-07-24,00:00,17.7
27.0,22.315,2020-07-24,00:00,17.7
28.0,22.643,2020-07-24,00:00,17.7
29.0,23.041,2020-07-24,00:00,17.7
3.0,22.424,2020-07-24,00:00,17.7
30.0,23.554,2020-07-24,00:00,17.7
4.0,22.691,2020-07-24,00:00,17.7
5.0,23.551,2020-07-24,00:00,17.7
6.0,23.66,2020-07-24,00:00,17.7
7.0,21.98,2020-07-24,00:00,17.7
8.0,20.683,2020-07-24,00:00,17.7
9.0,22.225,2020-07-24,00:00,17.7
1.0,21.922,2020-07-24,01:00,17.0
10.0,21.885,2020-07-24,01:00,17.0
11.0,21.167,2020-07-24,01:00,17.0
12.0,20.413,2020-07-24,01:00,17.0
13.0,21.255,2020-07-24,01:00,17.0
14.0,21.856,2020-07-24,01:00,17.0
15.0,21.214,2020-07-24,01:00,17.0
16.0,21.0,2020-07-24,01:00,17.0
17.0,20.958,2020-07-24,01:00,17.0
18.0,21.161,2020-07-24,01:00,17.0
19.0,19.284,2020-07-24,01:00,17.0
2.0,22.351,2020-07-24,01:00,17.0
20.0,21.129,2020-07-24,01:00,17.0
21.0,19.308,2020-07-24,01:00,17.0
22.0,21.089,2020-07-24,01:00,17.0
23.0,21.82,2020-07-24,01:00,17.0
24.0,21.058,2020-07-24,01:00,17.0
25.0,22.132,2020-07-24,01:00,17.0
26.0,21.854,2020-07-24,01:00,17.0
27.0,21.36,2020-07-24,01:00,17.0
28.0,21.418,2020-07-24,01:00,17.0
29.0,22.342,2020-07-24,01:00,17.0
3.0,21.206,2020-07-24,01:00,17.0
30.0,22.768,2020-07-24,01:00,17.0
4.0,22.113,2020-07-24,01:00,17.0
5.0,22.775,2020-07-24,01:00,17.0
6.0,22.853,2020-07-24,01:00,17.0
7.0,21.386,2020-07-24,01:00,17.0
8.0,19.698,2020-07-24,01:00,17.0
9.0,21.429,2020-07-24,01:00,17.0
1.0,21.223,2020-07-24,02:00,17.0
10.0,21.351,2020-07-24,02:00,17.0
11.0,20.543,2020-07-24,02:00,17.0
12.0,20.292,2020-07-24,02:00,17.0
13.0,20.863,2020-07-24,02:00,17.0
14.0,21.31,2020-07-24,02:00,17.0
15.0,20.931,2020-07-24,02:00,17.0
16.0,21.208,2020-07-24,02:00,17.0
17.0,20.344,2020-07-24,02:00,17.0
18.0,20.554,2020-07-24,02:00,17.0
19.0,18.618,2020-07-24,02:00,17.0
2.0,22.12,2020-07-24,02:00,17.0
20.0,20.933,2020-07-24,02:00,17.0
21.0,19.007,2020-07-24,02:00,17.0
22.0,20.827,2020-07-24,02:00,17.0
23.0,21.604,2020-07-24,02:00,17.0
24.0,20.378,2020-07-24,02:00,17.0
25.0,21.479,2020-07-24,02:00,17.0
26.0,21.694,2020-07-24,02:00,17.0
27.0,21.292,2020-07-24,02:00,17.0
28.0,21.461,2020-07-24,02:00,17.0
29.0,21.443,2020-07-24,02:00,17.0
3.0,21.717,2020-07-24,02:00,17.0
30.0,21.876,2020-07-24,02:00,17.0
4.0,21.481,2020-07-24,02:00,17.0
5.0,22.07,2020-07-24,02:00,17.0
6.0,21.924,2020-07-24,02:00,17.0
7.0,21.125,2020-07-24,02:00,17.0
8.0,20.124,2020-07-24,02:00,17.0
